Format Version,1.21,Take Name,evo_flight_11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-07-20 10.57.49 AM,Total Frames in Take,14678,Total Exported Frames,14678,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z
169,1.408333,-0.004412,-0.698437,-0.005303,-0.715638,-0.663184,0.062935,-0.518004
170,1.416667,-0.004369,-0.698585,-0.004759,-0.715498,-0.663209,0.062932,-0.517982
171,1.425000,-0.005227,-0.699004,-0.004767,-0.715083,-0.663274,0.062908,-0.517924
172,1.433333,-0.004591,-0.698387,-0.005256,-0.715686,-0.663228,0.062901,-0.518037
173,1.441667,-0.004208,-0.698510,-0.005361,-0.715568,-0.663225,0.062908,-0.517987
174,1.450000,-0.004703,-0.698437,-0.005227,-0.715637,-0.663190,0.062921,-0.517971
175,1.458333,-0.005272,-0.698575,-0.005014,-0.715500,-0.663241,0.062920,-0.518036
176,1.466667,-0.004610,-0.698432,-0.005386,-0.715642,-0.663231,0.062951,-0.517973
177,1.475000,-0.004085,-0.698397,-0.005415,-0.715678,-0.663250,0.062812,-0.517986
178,1.483333,-0.005049,-0.698439,-0.004957,-0.715635,-0.663203,0.062908,-0.517969
179,1.491667,-0.004184,-0.698411,-0.005221,-0.715665,-0.663203,0.062908,-0.518005
180,1.500000,-0.005032,-0.698560,-0.004978,-0.715517,-0.663218,0.062931,-0.517998
181,1.508333,-0.004588,-0.698321,-0.005385,-0.715749,-0.663203,0.062969,-0.517959
182,1.516667,-0.004087,-0.698359,-0.005375,-0.715716,-0.663222,0.062943,-0.517975
183,1.525000,-0.004232,-0.698355,-0.005539,-0.715717,-0.663205,0.062923,-0.517977
184,1.533333,-0.004775,-0.698485,-0.005182,-0.715590,-0.663211,0.062983,-0.517960
185,1.541667,-0.004670,-0.698371,-0.005177,-0.715702,-0.663238,0.062932,-0.517969
